," This is a citation overview for a set of 22 documents.",,,,,,,,,,,,,,,,,,,,,,,
2022,"Words matter: instructions dictate “self-selected” walking speed in young adults","Brinkerhoff S.A., Murrah W.M., Hutchison Z., Miller M., Roper J.A.",09666362,"Gait and Posture",95, ,0,0,0,0,0,0,0,0,0,0,0,2,4,2,6,14,3,17
2022,"Cognitive dual-task alters Local Dynamic Stability of lower extremity during common movements","Larson J., Roper J., Murrah W., Zabala M.",00219290,"Journal of Biomechanics",137, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2022,"Meta-analyzing enhanced expectancies on motor learning: positive effects but methodological concerns","Bacelar M.F.B., Parma J.O., Murrah W.M., Miller M.W.",1750984X,"International Review of Sport and Exercise Psychology",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,1,10
2021,"The Association of Upper-Body Kinematics and Earned Run Average of National Collegiate Athletic Association Division I Softball Pitchers","Friesen K.B., Barfield J.W., Murrah W.M., Dugas J.R., Andrews J.R., Oliver G.D.",10648011,"Journal of Strength and Conditioning Research",35, 11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8,0,8
2021,"Core and whole body vibration exercise influences muscle sensitivity and posture during a military foot march","Lyons K.D., Parks A.G., Dadematthews O., Zandieh N., McHenry P., Games K.E., Goodlett M.D., Murrah W., Roper J., Sefton J.M.",16617827,"International Journal of Environmental Research and Public Health",18, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2021,"A dietary intervention high in green leafy vegetables reduces oxidative dna damage in adults at increased risk of colorectal cancer: Biological outcomes of the randomized controlled meat and three greens (M3G) feasibility trial","Fruge A.D., Smith K.S., Riviere A.J., Tenpenny-Chigas R., Demark-Wahnefried W., Arthur A.E., Murrah W.M., van der Pol W.J., Jasper S.L., Morrow C.D., Arnold R.D., Braxton-Lloyd K.",20726643,"Nutrients",13, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,1,13
2020,"Knee Valgus Versus Knee Abduction Angle: Comparative Analysis of Medial Knee Collapse Definitions in Female Athletes","Oldfather T., Zabala M., Goodlett M., Murrah W.(.",01480731,"Journal of Biomechanical Engineering",142, 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Impact of Personality on Choice of Instructional Delivery and Students’ Performance","Chesser S., Murrah W., Forbes S.A.",08923647,"American Journal of Distance Education",34, 3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,7,1,8
2020,"Compound Bias due to Measurement Error When Comparing Regression Coefficients","Murrah W.M.",00131644,"Educational and Psychological Measurement",80, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2019,"Primary outcomes of a randomized controlled crossover trial to explore the effects of a high chlorophyll dietary intervention to reduce colon cancer risk in adults: The meat and three greens (M3G) feasibility trial","Fruge A.D., Smith K.S., Riviere A.J., Demark-Wahnefried W., Arthur A.E., Murrah W.M., Morrow C.D., Arnold R.D., Braxton-Lloyd K.",20726643,"Nutrients",11, 10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,1,10
2018,"An after-school intervention targeting executive function and visuospatial skills also improves classroom behavior","Brock L.L., Murrah W.M., Cottone E.A., Mashburn A.J., Grissmer D.W.",01650254,"International Journal of Behavioral Development",42, 5,0,0,0,0,0,0,0,0,0,1,3,4,3,4,5,20,3,23
2016,"How Are Motor Skills Linked to Children's School Performance and Academic Achievement?","Cameron C.E., Cottone E.A., Murrah W.M., Grissmer D.W.",17508592,"Child Development Perspectives",10, 2,0,0,0,0,0,0,0,4,5,15,14,21,28,22,25,134,8,142
2015,"Psychometric Properties of the Teacher-Reported Motor Skills Rating Scale","Kim H., Murrah W.M., Cameron C.E., Brock L.L., Cottone E.A., Grissmer D.",07342829,"Journal of Psychoeducational Assessment",33, 7,0,0,0,0,0,0,1,4,0,2,1,2,0,0,4,14,1,15
2015,"A Rasch Analysis of the KeyMath-3 Diagnostic Assessment","Kim H., Schmidt K.M., Murrah W.M., Cameron C.E., Grissmer D.",15297713,"Journal of applied measurement",16, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Fine Motor Skills and Executive Function Both Contribute to Kindergarten Achievement","Cameron C.E., Brock L.L., Murrah W.M., Bell L.H., Worzalla S.L., Grissmer D., Morrison F.J.",00093920,"Child Development",83, 4,0,0,0,1,7,15,16,20,19,42,34,34,38,45,31,302,17,319
2010,"Fine motor skills and early comprehension of the world: Two new school readiness indicators","Grissmer D., Grimm K.J., Aiyer S.M., Murrah W.M., Steele J.S.",00121649,"Developmental Psychology",46, 5,0,1,1,4,18,21,16,37,28,49,36,40,38,36,28,353,14,367
